x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,STN_ID
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.23,2017-07-23 00:00:00,ON,2017,7,23,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.24,2017-07-24 00:00:00,ON,2017,7,24,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.25,2017-07-25 00:00:00,ON,2017,7,25,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.26,2017-07-26 00:00:00,ON,2017,7,26,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.27,2017-07-27 00:00:00,ON,2017,7,27,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.28,2017-07-28 00:00:00,ON,2017,7,28,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.29,2017-07-29 00:00:00,ON,2017,7,29,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.30,2017-07-30 00:00:00,ON,2017,7,30,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.31,2017-07-31 00:00:00,ON,2017,7,31,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.1,2017-08-01 00:00:00,ON,2017,8,1,,,,,,,,,,,,,,,,,,,,,,,,,4831
