year,breaks_ci,breaks_ci_lo,breaks_ci_hi,model,scenario,breaks_di,breaks_di_lo,breaks_di_hi,rate_ci,rate_ci_lo,rate_ci_hi,rate_di,rate_di_lo,rate_di_hi,pct_change_ci,pct_change_di
2081,39.645669687728144,0.0,129.0,CanESM5,ssp126,16.187456602872775,0.0,58.0,0.26206814970735154,0.0,0.8527234267583289,0.050263799418949776,0.0,0.18009625834497747,-24.3,-24.2
2082,44.791156642510664,0.0,146.0,CanESM5,ssp126,17.939439421598085,0.0,63.0,0.2960811517881456,0.0,0.965097831835008,0.05570389511441728,0.0,0.19562179785747555,-14.5,-16.0
2083,39.321557710983804,0.0,127.0,CanESM5,ssp126,16.069060676669466,0.0,56.0,0.25992568555647677,0.0,0.8395029085140138,0.049896167292872114,0.0,0.17388604253997825,-24.9,-24.7
2084,42.0128295275389,0.0,137.0,CanESM5,ssp126,17.616136421457025,0.0,64.0,0.27771568963206567,0.0,0.9056054997355897,0.05470000441377744,0.0,0.19872690575997515,-19.8,-17.5
2085,40.729233874614245,0.0,133.0,CanESM5,ssp126,16.47552971130778,0.0,60.0,0.2692307897581587,0.0,0.8791644632469593,0.05115829750444893,0.0,0.1863064741499767,-22.2,-22.8
2086,42.18432480146852,0.0,137.0,CanESM5,ssp126,16.584760125516542,0.0,59.0,0.2788493178309659,0.0,0.9056054997355897,0.051497469726801866,0.0,0.1832013662474771,-19.5,-22.3
2087,40.244249903203155,0.0,132.0,CanESM5,ssp126,16.11688915300514,0.0,58.0,0.2660249200370383,0.0,0.8725542041248017,0.050044679872706534,0.0,0.18009625834497747,-23.2,-24.5
2088,38.54658089258069,0.0,126.0,CanESM5,ssp126,16.320798395187122,0.0,59.0,0.2548028879731669,0.0,0.8328926493918561,0.05067784007199851,0.0,0.1832013662474771,-26.4,-23.5
2089,43.07556095723289,0.0,141.0,CanESM5,ssp126,17.760136482833104,0.0,64.0,0.28474061975960396,0.0,0.93204653622422,0.05514714014231673,0.0,0.19872690575997515,-17.8,-16.8
2090,41.28716901543193,0.0,133.0,CanESM5,ssp126,15.888119804606646,0.0,57.0,0.272918885612321,0.0,0.8791644632469593,0.04933432636114468,0.0,0.17699115044247787,-21.2,-25.6
2091,40.360412135270444,0.0,131.0,CanESM5,ssp126,16.49398757809211,0.0,59.0,0.2667927824912113,0.0,0.865943945002644,0.051215611172464245,0.0,0.1832013662474771,-22.9,-22.7
2092,43.422726602679184,0.0,141.0,CanESM5,ssp126,17.705250848216757,0.0,63.0,0.28703547463431506,0.0,0.93204653622422,0.054976714324535804,0.0,0.19562179785747555,-17.1,-17.1
2093,40.41258673811744,0.0,133.0,CanESM5,ssp126,17.182354309247728,0.0,62.0,0.2671376701356256,0.0,0.8791644632469593,0.05335306414919338,0.0,0.19251668995497592,-22.8,-19.5
2094,42.88813867675145,0.0,138.0,CanESM5,ssp126,17.130484415508185,0.0,61.0,0.283501709920356,0.0,0.9122157588577472,0.053192002532240906,0.0,0.18941158205247632,-18.1,-19.7
2095,37.73468813647308,0.0,125.0,CanESM5,ssp126,15.809490790360034,0.0,57.0,0.24943606647589292,0.0,0.8262823902696985,0.04909017478764177,0.0,0.17699115044247787,-28.0,-25.9
2096,44.93750691740797,0.0,145.0,CanESM5,ssp126,17.693413474200625,0.0,62.0,0.2970485650278158,0.0,0.9584875727128503,0.05493995800093347,0.0,0.19251668995497592,-14.2,-17.1
2097,41.882741910680295,0.0,136.0,CanESM5,ssp126,17.407118433344003,0.0,62.0,0.2768557767760464,0.0,0.8989952406134321,0.054050981007123126,0.0,0.19251668995497592,-20.0,-18.4
2098,42.14502228703795,0.0,138.0,CanESM5,ssp126,16.38223926388448,0.0,59.0,0.2785895180264275,0.0,0.9122157588577472,0.05086862059892712,0.0,0.1832013662474771,-19.5,-23.2
2099,44.250351427816014,0.0,143.0,CanESM5,ssp126,18.658757583879858,0.0,65.0,0.29250628918439986,0.0,0.9452670544685352,0.057937455624529906,0.0,0.20183201366247477,-15.5,-12.6
2100,33.963297472031215,0.0,111.0,CanESM5,ssp126,14.177020990693693,0.0,52.0,0.2245061969330461,0.0,0.7337387625594923,0.044021179912105864,0.0,0.16146561092997982,-35.2,-33.6
2026,43.34743931347727,0.0,141.0,CanESM5,ssp245,17.08750706605776,0.0,61.0,0.2865378061440856,0.0,0.93204653622422,0.05305855322483391,0.0,0.18941158205247632,-17.2,-19.9
2027,37.15913767226874,0.0,122.0,CanESM5,ssp245,15.57168286219086,0.0,57.0,0.24563152876962416,0.0,0.8064516129032258,0.048351755510606616,0.0,0.17699115044247787,-29.1,-27.0
2028,46.81374864873239,0.0,150.0,CanESM5,ssp245,18.36771078248238,0.0,63.0,0.3094510090476758,0.0,0.9915388683236382,0.057033723901513365,0.0,0.19562179785747555,-10.6,-13.9
2029,47.90798945111735,0.0,154.0,CanESM5,ssp245,17.975019989496772,0.0,64.0,0.316684224293478,0.0,1.0179799048122686,0.055814376616974914,0.0,0.19872690575997515,-8.5,-15.8
2030,40.49309929586717,0.0,133.0,CanESM5,ssp245,16.642989528414155,0.0,60.0,0.267669879004939,0.0,0.8791644632469593,0.05167827830589708,0.0,0.1863064741499767,-22.7,-22.0
2031,38.03572247701016,0.0,125.0,CanESM5,ssp245,16.47574515854698,0.0,60.0,0.25142598147151085,0.0,0.8262823902696985,0.05115896649137395,0.0,0.1863064741499767,-27.4,-22.8
2032,41.424390376322485,0.0,136.0,CanESM5,ssp245,16.08890759055048,0.0,57.0,0.2738259543649027,0.0,0.8989952406134321,0.04995779410200429,0.0,0.17699115044247787,-20.9,-24.6
2033,44.287637840287076,0.0,145.0,CanESM5,ssp245,17.729669294391755,0.0,64.0,0.2927527620325692,0.0,0.9584875727128503,0.055052536234720555,0.0,0.19872690575997515,-15.4,-16.9
2034,49.3862706390692,0.0,159.0,CanESM5,ssp245,19.098808350987028,0.0,67.0,0.32645604600125067,0.0,1.0510312004230566,0.0593038607389754,0.0,0.208042229467474,-5.7,-10.5
2035,41.40037845189602,0.0,136.0,CanESM5,ssp245,16.945518299247965,0.0,60.0,0.2736672293224221,0.0,0.8989952406134321,0.052617662782946634,0.0,0.1863064741499767,-21.0,-20.6
2036,41.73898478252162,0.0,136.0,CanESM5,ssp245,17.426103668591626,0.0,61.0,0.2759055049082603,0.0,0.8989952406134321,0.054109932211121335,0.0,0.18941158205247632,-20.3,-18.4
2037,44.47054457493779,0.0,146.0,CanESM5,ssp245,17.269500597652808,0.0,62.0,0.2939618229437982,0.0,0.965097831835008,0.053623662777993505,0.0,0.19251668995497592,-15.1,-19.1
2038,41.905820212187685,0.0,136.0,CanESM5,ssp245,17.79201139363732,0.0,62.0,0.2770083303291095,0.0,0.8989952406134321,0.055246115179746376,0.0,0.19251668995497592,-20.0,-16.6
2039,42.897989501124385,0.0,138.0,CanESM5,ssp245,17.27587944036796,0.0,61.0,0.2835668264220279,0.0,0.9122157588577472,0.05364346977291712,0.0,0.18941158205247632,-18.1,-19.1
2040,44.29041517214803,0.0,142.0,CanESM5,ssp245,17.538220796725632,0.0,62.0,0.2927711209158384,0.0,0.9386567953463776,0.054458067991695794,0.0,0.19251668995497592,-15.4,-17.8
2041,51.32334313768622,0.0,166.0,CanESM5,ssp245,20.634412106991963,0.0,73.0,0.33926059715551443,0.0,1.0973030142781597,0.0640720760968544,0.0,0.22667287688247165,-2.0,-3.3
2042,43.69160108208857,0.0,142.0,CanESM5,ssp245,17.095360192548505,0.0,61.0,0.28881280461454634,0.0,0.9386567953463776,0.05308293802995965,0.0,0.18941158205247632,-16.6,-19.9
2043,40.62659108065728,0.0,133.0,CanESM5,ssp245,16.821842898506105,0.0,60.0,0.2685522942930809,0.0,0.8791644632469593,0.05223363731875828,0.0,0.1863064741499767,-22.4,-21.2
2044,40.08871073373253,0.0,130.0,CanESM5,ssp245,16.42403940081477,0.0,58.0,0.2649967658231923,0.0,0.8593336858804865,0.05099841453443493,0.0,0.18009625834497747,-23.5,-23.1
2045,39.784911900876004,0.0,131.0,CanESM5,ssp245,16.07838628307913,0.0,57.0,0.2629885768170016,0.0,0.865943945002644,0.04992512430703037,0.0,0.17699115044247787,-24.0,-24.7
2046,41.626479447452205,0.0,136.0,CanESM5,ssp245,16.862732232981543,0.0,60.0,0.2751618154908263,0.0,0.8989952406134321,0.05236060311436591,0.0,0.1863064741499767,-20.5,-21.0
2047,47.2853001612242,0.0,153.0,CanESM5,ssp245,19.764203832403567,0.0,68.0,0.31256808673469194,0.0,1.0113696456901111,0.06136998550660943,0.0,0.2111473373699736,-9.7,-7.4
2048,46.988393818569634,0.0,151.0,CanESM5,ssp245,19.51051321214765,0.0,69.0,0.3106054588747332,0.0,0.9981491274457959,0.06058224875686275,0.0,0.21425244527247322,-10.3,-8.6
2049,37.94677557632207,0.0,125.0,CanESM5,ssp245,15.614250073440587,0.0,57.0,0.25083801940984973,0.0,0.8262823902696985,0.04848393129464551,0.0,0.17699115044247787,-27.6,-26.8
2050,43.27474584029959,0.0,140.0,CanESM5,ssp245,17.73404211721327,0.0,62.0,0.2860572834498915,0.0,0.9254362771020624,0.055066114321419876,0.0,0.19251668995497592,-17.4,-16.9
2051,38.956970188143586,0.0,128.0,CanESM5,ssp245,16.42604423233468,0.0,58.0,0.25751566755779737,0.0,0.8461131676361713,0.05100463975263058,0.0,0.18009625834497747,-25.6,-23.0
2052,40.61489477171348,0.0,133.0,CanESM5,ssp245,16.849561826260867,0.0,60.0,0.2684749786601896,0.0,0.8791644632469593,0.05231970758037841,0.0,0.1863064741499767,-22.5,-21.1
2053,36.850524367977414,0.0,121.0,CanESM5,ssp245,15.836480043646642,0.0,56.0,0.2435915148597132,0.0,0.7998413537810682,0.04917397933130458,0.0,0.17388604253997825,-29.6,-25.8
2054,37.573707747042356,0.0,125.0,CanESM5,ssp245,16.01901793219586,0.0,57.0,0.24837194438816998,0.0,0.8262823902696985,0.04974077917154436,0.0,0.17699115044247787,-28.3,-25.0
2055,41.086433614271,0.0,133.0,CanESM5,ssp245,16.927383054795694,0.0,61.0,0.2715919725956571,0.0,0.8791644632469593,0.05256135089208413,0.0,0.18941158205247632,-21.6,-20.7
2056,38.416366115074986,0.0,126.0,CanESM5,ssp245,16.61592150232416,0.0,60.0,0.2539421345523201,0.0,0.8328926493918561,0.05159422916417997,0.0,0.1863064741499767,-26.7,-22.2
2057,39.03625841830538,0.0,129.0,CanESM5,ssp245,16.19142721265447,0.0,58.0,0.2580397833045041,0.0,0.8527234267583289,0.05027612859076066,0.0,0.18009625834497747,-25.5,-24.1
